rank,movie,boxoffice,in_millions
52,"Skyfall (2012)",304360277,304.360277
53,"The Hobbit: An Unexpected Journey (2012)",303001229,303.001229
54,"Harry Potter and the Half-Blood Prince (2009)",301956980,301.95698
55,"The Twilight Saga: Eclipse (2010)",300523113,300.523113
56,"The Twilight Saga: New Moon (2009)",296623634,296.623634
57,"Harry Potter and the Deathly Hallows: Part 1 (2010)",294980434,294.980434
58,"The Sixth Sense (1999)",293501675,293.501675
59,"Up (2009)",292979556,292.979556
60,"Inception (2010)",292568851,292.568851
61,"The Twilight Saga: Breaking Dawn - Part 2 (2012)",292298923,292.298923
62,"Harry Potter and the Order of the Phoenix (2007)",292000866,292.000866
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)",291709845,291.709845
64,"Man of Steel (2013)",291021565,291.021565
65,"Star Wars: Episode V - The Empire Strikes Back (1980)",290158751,290.158751
66,"Harry Potter and the Goblet of Fire (2005)",289994397,289.994397
67,"Monsters, Inc. (2001)",289907418,289.907418
68,"Home Alone (1990)",285761243,285.761243
69,"The Matrix Reloaded (2003)",281492479,281.492479
70,"The Twilight Saga: Breaking Dawn - Part 1 (2011)",281275991,281.275991
71,"Meet the Fockers (2004)",279167575,279.167575
72,"The Hangover (2009)",277313371,277.313371
73,"Gravity (2013)",274084951,274.084951
74,"Monsters University (2013)",268488329,268.488329
75,"Shrek (2001)",267652016,267.652016
76,"The Amazing Spider-Man (2012)",262030663,262.030663
77,"Harry Potter and the Chamber of Secrets (2002)",261970615,261.970615
78,"The Incredibles (2004)",261437578,261.437578
79,"How the Grinch Stole Christmas (2000)",260031035,260.031035
80,"Jaws (1975)",260000000,260
81,"Captain America: The Winter Soldier (2014)",259746958,259.746958
82,"The Hobbit: The Desolation of Smaug (2013)",258355354,258.355354
83,"The Lego Movie (2014)",257756197,257.756197
84,"Star Trek (2009)",257704099,257.704099
85,"I Am Legend (2007)",256386216,256.386216
86,"The Blind Side (2009)",255950375,255.950375
87,"The Hobbit: The Battle of the Five Armies (2014)",255108370,255.10837
88,"The Hangover Part II (2011)",254455986,254.455986
89,"Despicable Me (2010)",251501645,251.501645
90,"Batman (1989)",251188924,251.188924
91,"Night at the Museum (2006)",250863268,250.863268
92,"Men in Black (1997)",250147615,250.147615
93,"Harry Potter and the Prisoner of Azkaban (2004)",249358727,249.358727
94,"Toy Story 2 (1999)",245823397,245.823397
95,"Transformers: Age of Extinction (2014)",245428137,245.428137
96,"Cars (2006)",244052771,244.052771
97,"Bruce Almighty (2003)",242589580,242.58958
98,"Raiders of the Lost Ark (1981)",242374454,242.374454
99,"Ghostbusters (1984)",241883122,241.883122
